title,genre,rating,year_release,language,director
Wild River,Crime,5.9,1994,Indonesian,Lea Fernandes
Return to Avalon,Thriller,4.1,1954,German,Arun Ivanov
Return to Avalon,Fantasy,7.4,2020,Danish,Omar Patel
Defying the Myth,Romance,8.2,1958,Japanese,Arun Horváth
Return to Eldoria,Historical,9.4,1960,Thai,Marta Sarkar
Return to Veridian,Animation,7.1,1982,Romanian,Vikram Romero
3 Days in Drakenfell,Drama,7.2,1989,Hindi,Fatima Singh
Fading Voyage,Animation,9.3,2017,Thai,Chang Papadopoulos
Crown of Veridian,Action,1.5,2007,Portuguese,Diego Johansson
Return to Avalon,Musical,4.8,1962,Norwegian,Aisha Khan
Seeking the Flame,Documentary,4.5,1992,Japanese,Aarav Papadopoulos
Remembering the Storm,Animation,8.5,2001,Hungarian,Ananya Verma
Crossing the Mask,Family,4.4,1996,Turkish,Seojun Nguyen
13 Days in Arcadia,Romance,8.3,1968,Persian,Diego Kim
27 Days in Solace,Sport,6.4,1952,Bulgarian,Seojun Patel
Seeking the Mask,Sci-Fi,6.9,1966,Spanish,Marta Yamamoto
Unlocking the Mirror,Mystery,8.5,2001,Telugu,Karan Johansson
The Silent Storm,Animation,8.7,1983,Ukrainian,Li Kim
Return to Arcadia,Noir,8.4,1964,German,Noah Kim
The Restless Whisper,Noir,7.5,2006,Serbian,Sofia Kim
Return to Veridian,Horror,7.4,1953,Arabic,Mina Silva
Return to Nerida,Fantasy,4.5,2003,Italian,Noah Silva
9 Days in Aramore,Horror,4.5,1981,Malayalam,Lucia Levy
Labyrinth of Veridian,Sport,7.6,1960,Cantonese,Marta Sarkar
Finding the Odyssey,Musical,9.0,1993,Serbian,Marta Kapoor
The Curious Harbor,Family,6.4,1999,Swedish,Priya Costa
Burning Flame,Crime,3.7,2025,Romanian,Vikram Johansson
8 Days in Arcadia,Crime,6.7,2023,French,Mina Santos
Surviving the Voyage,Musical,7.0,2021,Portuguese,Priya Garcia
Horizon of Avalon,Fantasy,2.7,2002,French,Yara Horváth
The Hidden River,War,3.7,2003,Russian,Li Ivanov
The Dark Chronicle,War,5.6,2007,Kannada,Omar Basu
Mask of Aramore,Sci-Fi,1.6,1991,Vietnamese,Elena Silva
The Hidden Labyrinth,Comedy,4.7,1992,Japanese,Carlos Khan
Feather of Ravenna,Fantasy,4.4,2015,Romanian,Jonas Sharma
The Ancient Storm,Adventure,9.6,2007,Bulgarian,Aisha Romero
Lone Echo,Documentary,7.9,1988,Korean,Noah Rossi
Chasing the Chronicle,Adventure,7.3,1986,Hindi,Luca Yamamoto
Dream of Nerida,Historical,9.0,1973,Kannada,Rohan Papadopoulos
Azure Garden,Action,7.7,1997,Arabic,Li Khan
Song of Avalon,Crime,5.0,1951,Korean,Jiwoo Romero
Crossing the Fortress,Action,9.1,1979,Bengali,Arun Sheikh
Broken Chronicle,Crime,7.2,1962,Finnish,Sofia Costa
Brave River,War,7.1,1987,Bengali,Mikhail Santos
Return to Aramore,Crime,5.9,2011,German,Li Horváth
Becoming the Storm,Romance,4.4,2002,Greek,Chang Garcia
9 Days in Avalon,Biography,6.2,2006,Marathi,Marta Papadopoulos
The Fallen Pulse,Mystery,8.7,1950,Norwegian,Lucia Garcia
Return to Avalon,Comedy,5.5,1994,Bengali,Carlos Papadopoulos
Return to Solace,Crime,4.3,1976,English,Rohan Santos
Remembering the Song,Biography,4.3,1951,Norwegian,Jiwoo Novak
The Haunted Whisper,Family,4.4,1957,Marathi,Karan Kuznetsov
The Radiant Harbor,Biography,6.8,1982,French,Maya Santos
Finding the Harbor,Sport,6.0,1969,Bengali,Vikram Petrescu
12 Days in Orion,Noir,5.0,2015,Korean,Anika Haddad
Return to Orion,Comedy,2.8,1950,Spanish,Arun Iyer
5 Days in Vesper,Noir,8.5,1980,Malayalam,Lea Kapoor
Hidden Canvas,Animation,6.5,2009,Dutch,Noah Santos
The Azure Orbit,Animation,4.6,2009,Marathi,Luca Zhang
The Eternal Beacon,Adventure,6.8,2003,Romanian,Fatima Horváth
Return to Kandara,Animation,5.4,1982,Kannada,Seojun Hansen
13 Days in Valoria,Documentary,2.8,1956,Norwegian,Ananya Yamamoto
Return to Aramore,Thriller,8.4,1967,Hindi,Fatima Kuznetsov
The Fading Riddle,Mystery,4.5,1963,Hindi,Ananya Fernandes
Becoming the Orbit,Documentary,3.7,2019,Italian,Ingrid Patel
Return to Arcadia,Thriller,5.9,1997,Danish,Anika Petrescu
Return to Lunaris,Documentary,4.9,1950,Marathi,Elena Hansen
40 Days in Arcadia,Horror,9.0,1972,Bengali,Diego Nguyen
Golden Empire,Family,5.6,2019,French,Lucia Novak
Return to Orion,Western,3.0,1990,Swedish,Jamal Sharma
Crimson Song,Crime,4.2,1980,Kannada,Mikhail Basu
10 Days in Orion,Historical,6.1,1989,Serbian,Ali Park
The Sacred Feather,Action,7.5,2022,Japanese,Diego Patel
Path of Eldoria,Adventure,4.1,1989,Polish,Noah Iyer
Hidden Myth,Animation,6.9,1977,Arabic,Elena Costa
Garden of Nerida,Romance,4.4,1972,French,Hiro Rossi
Restless Dream,Historical,7.2,1982,Tamil,Jamal Sarkar
9 Days in Nerida,Crime,5.1,1997,Bengali,Nadia Kim
The Wild Feather,Adventure,6.4,1988,Tamil,Arun Kuznetsov
Radiant Pulse,Horror,9.5,2009,Hungarian,Noah Levy
4 Days in Lunaris,Adventure,3.3,2013,Turkish,Arun Kowalski
40 Days in Drakenfell,Historical,5.9,1979,Marathi,Luca Sharma
Return to Lunaris,Historical,6.8,1971,Hungarian,Maya Silva
The Fierce Labyrinth,Biography,9.4,2004,Mandarin,Kenji Tanaka
Voyage of Lunaris,Noir,7.5,1978,Polish,Jamal Basu
33 Days in Drakenfell,Fantasy,3.0,2024,Swedish,Omar Kim
Canvas of Eldoria,Western,3.4,1951,French,Ananya Ivanov
Dark Labyrinth,Family,5.5,2005,Mandarin,Mikhail Petrescu
The Golden Chronicle,Western,4.9,1961,Kannada,Chang Horváth
Saving the Riddle,Mystery,4.4,2013,Mandarin,Priya Basu
Last Riddle,Noir,9.5,2017,Italian,Aarav Singh
Forgiving the Crown,Sport,6.1,1998,Arabic,Fatima Sarkar
Flame of Vesper,Musical,6.9,2000,Czech,Ingrid Ionescu
Promise of Arcadia,Western,7.6,1962,Arabic,Chang Verma
River of Lunaris,Adventure,3.4,1985,Bengali,Kenji Levy
Return to Arcadia,Western,8.0,1952,Mandarin,Ingrid Verma
50 Days in Kandara,Historical,9.3,2018,Thai,Diego Khan
Return to Ravenna,Biography,7.1,1967,Portuguese,Carlos Gupta
Harbor of Eldoria,Western,5.5,1999,Dutch,Nadia Patel
Surviving the Horizon,Horror,7.0,1987,Polish,Seojun Ionescu
Brave Promise,Drama,7.0,1978,Bulgarian,Mikhail Basu
Awakening the Labyrinth,Historical,3.8,1976,Portuguese,Seojun Sharma
Mirror of Caldera,War,5.5,1962,Marathi,Fatima Singh
River of Kandara,Animation,6.7,1993,Tamil,Diego Petrov
7 Days in Orion,Romance,7.9,1958,English,Noah Kim
7 Days in Kandara,Comedy,3.0,1985,Mandarin,Nadia Kim
Burning Labyrinth,Western,5.7,2007,Finnish,Ravi Silva
The Lone Garden,Sport,8.0,2018,Hebrew,Luca Rossi
Curious Garden,Comedy,5.2,1951,Tamil,Sofia Nakamura
The Brave Riddle,Historical,1.9,2004,Cantonese,Marta Sarkar
Return to Aramore,Adventure,7.5,2003,French,Ananya Yamamoto
12 Days in Avalon,Sport,6.1,1986,Romanian,Luca Hansen
Radiant Mask,Historical,8.1,1958,French,Luca Chakraborty
Odyssey of Arcadia,Thriller,6.9,1994,Dutch,Sofia Park
Surviving the Myth,Documentary,9.8,1989,Vietnamese,Sofia Costa
Legacy of Veridian,War,8.3,1990,Marathi,Luca Park
Radiant Horizon,Fantasy,4.1,2023,Greek,Arun Tanaka
Mask of Orion,Mystery,5.2,1992,Hindi,Ravi Haddad
Return to Veridian,Sport,8.0,1950,Thai,Sofia Rossi
Return to Eldoria,Animation,6.7,2005,Dutch,Carlos Verma
The Brave Promise,Mystery,7.2,1999,Arabic,Karan Sharma
Curious Riddle,Mystery,5.5,2005,Indonesian,Arun Petrescu
The Silent Shadow,Western,5.2,1970,Thai,Karan Iyer
The Hidden Promise,Adventure,7.7,2018,Ukrainian,Anika Khan
River of Nerida,Sport,3.2,1980,Czech,Lucia Yamamoto
Pulse of Eldoria,Crime,6.4,1967,Finnish,Piotr Kowalski
The Radiant Canvas,Mystery,6.6,2002,Romanian,Marta Romero
Fading Flame,Western,4.5,2018,German,Rohan Patel
Return to Ravenna,Crime,4.1,1996,Czech,Isha Nguyen
Remembering the Riddle,Mystery,9.1,2002,Greek,Aisha Levy
Flame of Valoria,Romance,8.1,1995,Marathi,Ingrid Basu
Return to Nerida,Western,5.8,1971,Bengali,Ingrid Gupta
Lone Orbit,Crime,8.2,1985,Russian,Kenji Khan
Last Shadow,Noir,8.3,1991,Portuguese,Yara Santos
10 Days in Ravenna,Sport,2.3,2009,Portuguese,Marta Hansen
The Fierce Dream,Western,7.5,1967,Portuguese,Ananya Ionescu
Forgiving the Odyssey,Fantasy,5.0,2024,Ukrainian,Diego Petrov
Hidden Orbit,War,9.5,1954,Japanese,Ananya Horváth
Return to Vesper,Mystery,5.6,1995,Malayalam,Karan Chakraborty
Storm of Veridian,Sci-Fi,6.1,1991,Korean,Aisha Levy
The Broken Storm,Action,9.3,2013,Vietnamese,Arun Levy
Surviving the Beacon,Historical,5.9,1962,Filipino,Jamal Chakraborty
Surviving the Feather,Comedy,8.7,1952,Marathi,Jiwoo Tanaka
Frozen Dream,Documentary,8.6,2018,Bengali,Seojun Chakraborty
Dark Shadow,Sport,4.5,1969,Tamil,Sofia Kim
Last Dream,Historical,9.2,2021,Marathi,Aisha Santos
Chronicle of Aramore,Action,6.4,1958,Arabic,Aarav Iyer
The Golden Pulse,Western,5.5,2024,Hindi,Rohan Tanaka
Defying the Promise,Action,7.5,2021,Indonesian,Nadia Chakraborty
The Haunted River,Sport,1.8,1971,Kannada,Diego Nowak
Song of Kandara,Drama,9.6,1952,Marathi,Ali Tanaka
The Shattered Mask,Historical,6.7,1976,Hebrew,Hiro Sheikh
The Burning Chronicle,Biography,7.1,1976,Japanese,Hiro Kowalski
Saving the Whisper,Horror,6.5,1995,Hindi,Yara Petrov
Dark River,Western,5.1,1960,Portuguese,Ananya Kim
40 Days in Solace,Animation,2.7,2025,Swedish,Chang Chakraborty
Eternal Echo,Adventure,7.1,2014,Serbian,Nadia Zhang
Fading Storm,Adventure,2.7,1973,Dutch,Jamal Chakraborty
Fading Echo,Drama,3.5,1978,Cantonese,Isha Levy
10 Days in Ravenna,Mystery,7.4,1975,Swedish,Priya Horváth
Becoming the Whisper,Adventure,8.7,1979,Finnish,Rohan Nguyen
Secret Feather,Thriller,7.9,1966,Filipino,Mikhail Haddad
8 Days in Aramore,Western,9.0,1969,Bulgarian,Isha Petrescu
40 Days in Drakenfell,Historical,2.6,1951,Indonesian,Ali Horváth
The Midnight Labyrinth,Animation,7.2,2017,Thai,Fatima Kuznetsov
Awakening the Chronicle,Crime,4.7,2020,Filipino,Yara Haddad
Fortress of Eldoria,Comedy,4.2,1963,Hebrew,Arun Silva
Return to Arcadia,Biography,2.7,2009,Arabic,Jonas Nakamura
Return to Ravenna,Adventure,6.9,1969,Telugu,Ingrid Iyer
Fortress of Kandara,Sci-Fi,2.5,1962,Japanese,Carlos Basu
Haunted Echo,Documentary,5.0,1988,Greek,Fatima Verma
Surviving the Echo,Sport,5.4,1957,Hungarian,Isha Johansson
Orbit of Nerida,Thriller,6.3,2016,Filipino,Omar Fernandes
The Sacred Harbor,Noir,4.8,1989,Kannada,Hiro Rossi
Labyrinth of Kandara,Adventure,7.9,1983,Hungarian,Lucia Chakraborty
The Last Storm,Crime,9.1,1964,Greek,Elena Tanaka
The Lone Legacy,Comedy,1.6,2017,Telugu,Noah Kuznetsov
Harbor of Lunaris,Mystery,9.1,1950,Telugu,Chang Nakamura
Midnight Crown,Comedy,6.8,1986,Hebrew,Arun Romero
Return to Veridian,Historical,7.5,1951,Japanese,Diego Garcia
9 Days in Arcadia,Musical,6.9,1967,Arabic,Piotr Ionescu
Leaving the Canvas,Western,6.5,1965,Telugu,Jiwoo Gupta
The Bright Legacy,Crime,7.5,1994,Polish,Nadia Iyer
13 Days in Aramore,Thriller,1.8,1972,Vietnamese,Sofia Kim
The Fading Whisper,Family,5.8,1998,Arabic,Rohan Sheikh
The Curious Legacy,Adventure,6.2,2013,Indonesian,Piotr Rossi
The Silent Myth,Horror,6.3,1966,Dutch,Ali Khan
Return to Ravenna,Comedy,2.2,1995,Turkish,Arun Levy
Crown of Caldera,Biography,6.9,2000,English,Isha Gupta
Silent Feather,Adventure,8.6,1950,Polish,Aisha Sharma
Return to Eldoria,Horror,9.6,2013,Kannada,Mikhail Fernandes
First Myth,Fantasy,9.1,2019,Japanese,Aisha Haddad
Becoming the Path,Sport,8.1,2020,English,Jonas Zhang
Return to Avalon,Western,5.0,2007,Romanian,Elena Novak
Breaking the Harbor,War,5.4,2014,Portuguese,Omar Patel
Crimson Riddle,Horror,7.8,1972,Swedish,Piotr Chakraborty
Becoming the Storm,Fantasy,4.4,2001,Dutch,Ingrid Sarkar
Canvas of Lunaris,Drama,7.5,2002,Danish,Li Johansson
Return to Caldera,Crime,6.3,1991,English,Fatima Sheikh
33 Days in Vesper,Family,4.5,2013,Cantonese,Aarav Park
Labyrinth of Valoria,Documentary,8.0,2022,Polish,Priya Santos
Return to Arcadia,Documentary,6.6,1977,French,Mikhail Costa
The First Riddle,Adventure,2.7,2006,Turkish,Zara Kowalski
Return to Solace,Action,9.2,1950,Persian,Kenji Santos
Radiant Chronicle,War,7.6,1964,Ukrainian,Anika Nowak
Curious Echo,Documentary,3.8,1967,Hungarian,Aarav Verma
The Crimson Path,Adventure,6.8,1976,Polish,Ali Kowalski
The Radiant Orbit,Horror,5.2,1951,Korean,Aisha Patel
Fortress of Arcadia,Family,7.1,2002,Bulgarian,Rohan Costa
33 Days in Aramore,Noir,9.0,1992,Italian,Mikhail Singh
Defying the Beacon,Musical,3.7,1980,French,Lea Park
Fallen Promise,Musical,7.3,1959,Serbian,Priya Kim
The Lone Odyssey,Romance,4.9,1968,Bulgarian,Kenji Rossi
The Emerald Crown,Drama,7.5,1954,Telugu,Nadia Chakraborty
Return to Caldera,War,7.0,1993,Vietnamese,Mikhail Basu
40 Days in Lunaris,Noir,3.6,2020,Persian,Noah Kuznetsov
Chasing the Promise,Thriller,4.0,1993,Korean,Ravi Fernandes
Horizon of Avalon,Adventure,7.3,2014,Bengali,Aisha Sharma
Return to Solace,Drama,5.6,2012,Hebrew,Arun Petrescu
Forgotten Voyage,Crime,4.9,2013,Serbian,Hiro Kim
Return to Eldoria,Musical,8.9,1990,Hebrew,Ali Tanaka
Chasing the Empire,Horror,5.0,2022,Romanian,Nadia Silva
Return to Veridian,Adventure,3.3,1992,Czech,Jonas Ionescu
Return to Solace,Historical,9.6,1961,Bulgarian,Nadia Fernandes
Defying the Odyssey,Biography,5.7,1956,Telugu,Mina Romero
Mask of Drakenfell,Sport,4.6,2008,Turkish,Kenji Hansen
The Forgotten Horizon,Comedy,3.0,1967,Italian,Fatima Chakraborty
The Fierce Dream,Biography,4.5,1970,Vietnamese,Kenji Park
Return to Ravenna,Horror,4.6,1988,Dutch,Arun Sarkar
Golden Fortress,War,5.5,1968,Hungarian,Seojun Tanaka
The Dark Odyssey,Crime,3.8,1994,Vietnamese,Luca Khan
The Azure Storm,Biography,5.7,1957,Hindi,Yara Santos
The Secret Empire,Comedy,6.3,2013,Marathi,Anika Tanaka
4 Days in Arcadia,Biography,7.0,2014,Filipino,Noah Hansen
First Legacy,Fantasy,2.3,1952,Mandarin,Diego Silva
Echo of Arcadia,War,6.7,1969,German,Arun Levy
Fading Beacon,Western,7.5,1970,Spanish,Luca Zhang
Garden of Arcadia,Biography,7.5,1956,Japanese,Diego Haddad
The Haunted Garden,Crime,1.9,1993,Turkish,Rohan Fernandes
Midnight Promise,Adventure,2.4,2022,Portuguese,Jiwoo Chakraborty
Leaving the Pulse,Action,4.2,2021,Filipino,Kenji Costa
Unlocking the Riddle,Romance,4.9,1983,Italian,Nadia Papadopoulos
Secret Orbit,Horror,2.4,2009,Kannada,Marta Kim
50 Days in Kandara,Noir,8.5,2016,Indonesian,Jiwoo Gupta
Dark Mask,Animation,8.1,1996,Danish,Ananya Sarkar
33 Days in Eldoria,Family,7.5,2025,Vietnamese,Chang Johansson
Return to Lunaris,War,2.3,1968,Serbian,Omar Kuznetsov
Dark Chronicle,Musical,5.7,2016,Kannada,Sofia Yamamoto
Whisper of Nerida,Mystery,4.8,1973,Danish,Ali Gupta
Awakening the Path,Mystery,6.3,1978,Spanish,Chang Kapoor
The Secret Whisper,Fantasy,7.6,2020,Thai,Aarav Novak
Forgiving the Myth,Horror,6.7,1976,Swedish,Piotr Petrov
Leaving the Beacon,Fantasy,6.6,1988,Bengali,Li Sharma
Last Orbit,Thriller,5.3,1979,Romanian,Isha Horváth
Return to Aramore,Musical,8.9,1968,Korean,Ravi Verma
The Wild Orbit,Family,8.6,1975,Cantonese,Karan Kapoor
Awakening the Riddle,Thriller,5.2,1964,English,Maya Petrescu
Return to Solace,Comedy,5.5,1961,Telugu,Ingrid Verma
Crossing the Chronicle,Biography,7.6,1961,Malayalam,Priya Kapoor
The Midnight Harbor,Action,3.0,1968,Russian,Omar Khan
Return to Arcadia,Fantasy,2.8,1958,Persian,Priya Khan
Return to Vesper,War,2.0,1995,Hungarian,Kenji Novak
Midnight Crown,War,9.9,1960,Indonesian,Ananya Chakraborty
Radiant Path,Animation,3.7,1996,Serbian,Noah Johansson
Becoming the Pulse,Sport,2.9,1951,Hebrew,Carlos Singh
Canvas of Ravenna,Sport,5.5,1977,Marathi,Rohan Verma
The Midnight Promise,Historical,6.2,2019,Telugu,Luca Haddad
Odyssey of Arcadia,Drama,3.9,1971,Hebrew,Fatima Yamamoto
The Forgotten Beacon,Fantasy,6.3,1973,Japanese,Mikhail Silva
7 Days in Kandara,Drama,5.5,1976,Bulgarian,Anika Garcia
The Haunted Voyage,Documentary,4.7,1964,Bulgarian,Luca Tanaka
Burning Canvas,Documentary,6.7,2023,Danish,Chang Costa
Shadow of Arcadia,Musical,8.7,1997,Filipino,Fatima Johansson
Return to Lunaris,Animation,6.2,1970,German,Luca Horváth
Embracing the Horizon,Comedy,4.6,1961,Greek,Karan Rossi
9 Days in Avalon,Biography,6.7,1991,Vietnamese,Vikram Chakraborty
Unlocking the River,Biography,9.0,1989,Thai,Marta Johansson
3 Days in Drakenfell,Fantasy,5.6,1994,Korean,Maya Costa
Flame of Ravenna,Romance,2.1,2012,Marathi,Noah Papadopoulos
3 Days in Aramore,Action,4.2,2008,Kannada,Li Papadopoulos
16 Days in Ravenna,Documentary,6.2,1988,Malayalam,Aarav Rossi
40 Days in Solace,Adventure,5.8,1971,Danish,Hiro Singh
Seeking the Promise,Sport,4.1,2015,Persian,Aisha Iyer
Defying the Harbor,Animation,7.5,2014,Bulgarian,Yara Nguyen
Flame of Caldera,Animation,5.7,1981,Turkish,Aisha Singh
The Eternal Orbit,Horror,5.3,2018,Hindi,Ananya Silva
Radiant Chronicle,Thriller,7.5,1979,English,Hiro Yamamoto
Promise of Nerida,Musical,6.8,2009,English,Jonas Kim
3 Days in Lunaris,Horror,5.8,1995,Persian,Li Ionescu
The Broken Crown,Mystery,4.9,2025,French,Noah Nowak
Return to Avalon,Sport,6.9,1983,Malayalam,Aarav Rossi
Return to Solace,Western,8.6,1966,Serbian,Carlos Kim
Mirror of Drakenfell,Musical,6.6,1970,Greek,Luca Haddad
Remembering the Orbit,Sci-Fi,4.1,1995,Telugu,Lea Rossi
Curious Beacon,Adventure,5.9,1999,Korean,Li Gupta
33 Days in Valoria,Horror,3.9,1995,Marathi,Ananya Park
Horizon of Caldera,Thriller,6.3,1985,Greek,Maya Verma
The Radiant Orbit,Sport,4.5,1981,Filipino,Ali Kowalski
The Ancient Legacy,Historical,3.2,1990,Finnish,Chang Nowak
Return to Lunaris,Mystery,6.3,1985,Kannada,Rohan Nakamura
Promise of Solace,Fantasy,6.1,2012,Filipino,Lea Basu
Return to Nerida,Western,6.7,1950,Hungarian,Sofia Silva
Return to Arcadia,Noir,5.8,1996,Russian,Ali Sheikh
First Harbor,Fantasy,5.1,1955,Polish,Marta Patel
50 Days in Kandara,Noir,7.0,2025,Thai,Rohan Levy
Dark Crown,Comedy,6.8,1973,Vietnamese,Lucia Patel
33 Days in Vesper,Comedy,5.4,1973,Greek,Aisha Verma
Defying the Flame,Animation,4.4,1980,Tamil,Diego Ivanov
9 Days in Arcadia,Crime,5.4,1993,Serbian,Mina Santos
Silent Flame,Historical,8.3,1982,German,Jiwoo Nguyen
Return to Aramore,Animation,7.6,1990,Italian,Anika Nowak
Shattered Labyrinth,Thriller,3.6,1967,Portuguese,Ananya Silva
Brave Storm,Sci-Fi,7.8,1982,Turkish,Maya Horváth
Return to Solace,Comedy,6.9,2014,English,Zara Kuznetsov
Promise of Lunaris,Documentary,8.5,2016,Swedish,Lea Rossi
Return to Kandara,Biography,4.6,1952,Danish,Omar Fernandes
Ancient Flame,Mystery,2.0,1957,Czech,Kenji Ivanov
Shadow of Vesper,Animation,5.9,2011,Swedish,Aarav Garcia
Return to Lunaris,Noir,9.2,1977,Italian,Zara Garcia
Return to Valoria,Family,6.5,1978,Italian,Luca Hansen
Return to Solace,Action,6.1,2003,Polish,Hiro Gupta
Seeking the Promise,Biography,6.9,1986,Turkish,Chang Santos
50 Days in Solace,Biography,6.3,2003,Danish,Sofia Sheikh
Fortress of Ravenna,Historical,2.3,1986,Arabic,Ingrid Kowalski
Saving the Fortress,War,6.7,2002,Romanian,Lea Sheikh
First Empire,Noir,7.5,2017,Bulgarian,Karan Yamamoto
The Shattered Mask,Historical,5.4,2017,Persian,Aisha Ionescu
Emerald Pulse,War,5.1,2025,Filipino,Jonas Levy
Labyrinth of Lunaris,Biography,6.5,1986,German,Aarav Park
Orbit of Drakenfell,Comedy,6.4,2010,Turkish,Fatima Basu
Chasing the Horizon,Drama,5.4,1959,Polish,Aisha Novak
Shadow of Nerida,Thriller,7.7,2010,Tamil,Luca Sharma
Leaving the Garden,Fantasy,6.4,1992,Portuguese,Aarav Haddad
Flame of Valoria,Fantasy,5.2,1954,Czech,Nadia Levy
Return to Aramore,Animation,6.1,1992,Marathi,Lucia Costa
Chasing the Flame,Action,9.4,2019,Korean,Omar Fernandes
Crossing the Horizon,Fantasy,8.5,2023,Malayalam,Isha Tanaka
33 Days in Avalon,Adventure,9.0,2017,Swedish,Priya Fernandes
12 Days in Eldoria,Sport,9.8,2000,Swedish,Sofia Hansen
Azure Song,Crime,7.6,1980,Serbian,Hiro Sharma
Return to Valoria,Noir,1.5,2015,Tamil,Isha Kapoor
The Dark Flame,Mystery,7.3,1971,Tamil,Jamal Petrov
River of Nerida,Documentary,7.9,2006,Greek,Ravi Petrescu
Return to Solace,Adventure,3.4,2001,German,Fatima Horváth
Beacon of Drakenfell,Documentary,8.5,1990,Malayalam,Neha Santos
Return to Aramore,Action,6.9,1982,French,Seojun Haddad
Return to Ravenna,Thriller,1.8,1962,Persian,Arun Sarkar
The Shattered Voyage,Musical,6.9,1991,Tamil,Omar Horváth
Silent Labyrinth,Fantasy,6.4,2019,Hindi,Ravi Romero
27 Days in Avalon,Mystery,3.0,1957,Russian,Jamal Ivanov
Return to Lunaris,Mystery,9.1,1995,Greek,Yara Novak
Surviving the Path,Mystery,5.9,2021,Bengali,Zara Patel
The Frozen Riddle,Comedy,4.0,2002,Marathi,Sofia Nguyen
Midnight Voyage,War,9.7,1958,Swedish,Jamal Kowalski
Hidden Crown,Horror,7.3,1984,Dutch,Aisha Horváth
Feather of Arcadia,Animation,7.5,2018,Indonesian,Li Ivanov
Labyrinth of Kandara,Action,5.2,2018,Filipino,Rohan Basu
Mirror of Eldoria,Horror,8.6,1992,Kannada,Nadia Kowalski
Return to Ravenna,Mystery,8.6,1990,Thai,Piotr Iyer
Pulse of Eldoria,Mystery,8.6,2004,Hindi,Elena Hansen
Return to Veridian,Action,4.4,1965,Polish,Mikhail Patel
